ticker,name,exchange
a,agilent technologies,nyse
aa,alcoa inc.,nyse
aan,aaron's inc,nyse
aat,american assets trust,nyse
aav,advantage oil & gas ltd,nyse
ab,alliance capital management l.p.,nyse
abb,abb ltd,nyse
abbv,abbvie inc. common stock,nyse
abc,amerisourcebergen corporation,nyse
abm,abm industries incorporated,nyse
abr,arbor realty trust,nyse
abr-pa,arbor realty trust preferred se,nyse
abr-pb,arbor realty trust cumulative r,nyse
abt,abbot laboratories,nyse
abv,companhia de bebidas - ambev,nyse
abv.c,companhia de bebidas - ambev,nyse
abw-pb,associated banc-corp depositary,nyse
abx,barrick gold corp.,nyse
ace,ace limited,nyse
acg,alliancebernstein income fund inc,nyse
ach,aluminum corporation of china ltd.,nyse
aci,arch coal,nyse
acm,aecom technology corp.,nyse
acmp,access midstream partners l.p.,nyse
acn,accenture plc.,nyse
aco,amcol international corp.,nyse
acp,avenue income credit strategies,nyse
acre,ares commercial real estate cor,nyse
act,actavis inc.,nyse
actv,active network inc,nyse
acw,accuride corporation new,nyse
adc,agree realty corp.,nyse
adm,archer-daniels-midland company,nyse
ads,alliance data systems corp.,nyse
adt,adt corporation common stock w,nyse
adx,adams express company,nyse
aeb,aegon express company,nyse
aec,associated estates realty corp.,nyse
aed,aegon nv,nyse
aee,ameren corp.,nyse
aef,aegon nv,nyse
aeg,aegon nv,nyse
aeh,aegon nv,nyse
aek,aegon n.v. 8.00%,nyse
ael,american equity investment life,nyse
aem,agnico-eagle mines limited,nyse
aeo,american eagle outfitters,nyse
aep,american electric power company,nyse
aer,aercap holdings n.v.,nyse
aes,the aes corp.,nyse
aes-pc,aes corporation class c p,nyse
aet,aetna inc.,nyse
aev,aegon nv,nyse
af,astoria financial corp.,nyse
afa,american financial group inc.,nyse
afb,alliance national municipal,nyse
afc,allied capital corp.,nyse
afg,american financial group  ,nyse
afl,aflac incorporated,nyse
afm,affiliated managers group inc,nyse
afq,american financial group,nyse
afsd,aflac incorporated,nyse
aft,apollo senior floating rate fund inc.,nyse
afw,american financial group inc.,nyse
ag,first majestic silver,nyse
agc,advent claymore convertible securities,nyse
agco,agco corp.,nyse
agd,alpine global dynamic dividend fund,nyse
agi,alamos gold inc.,nyse
agm,federal agricultural mortgage corp.,nyse
agm-a,federal agricultural mortgage  ,nyse
agm.a,federal agricultural mortgage corp.,nyse
agn,allergan,nyse
ago,assured guaranty ltd,nyse
ago-pf,assured guaranty ltd [b],nyse
ago-e,assured guaranty ltd [e],nyse
ago-f,assured guaranty ltd [f],nyse
agro,adecoagro s.a.,nyse
agu,agrium inc.,nyse
ah,accretive health,nyse
ahc,a.h. belo corp.,nyse
ahh,armada hoffler properties inc.,nyse
ahl,aspen insurance holdings,nyse
ahl-pa,aspen insurance holdings limite,nyse
ahl-pc,aspen insurance holdings limite,nyse
ahl-c,aspen ins pfd inc,nyse
ahs,amn healthcare services inc,nyse
aht,ashford hospitality trust inc,nyse
aht-pa,ashford hospitality trust inc 8,nyse
aht-pd,ashford hospitality trust inc 8,nyse
ai,arlington asset investment corp,nyse
aib,apollo investment corporation,nyse
aif,apollo tactical income fund inc,nyse
aig,american international group,nyse
aig-wt,american international group,nyse
ain,albany international corp.,nyse
air,aar ,nyse
ait,applied industrial technologies,nyse
aiv,apartment investment and management,nyse
aiv-z,aparment inv. & mgt. co.,nyse
aiw,arlington asset investment cor ,nyse
aiy,apollo investment corporation,nyse
aiz,assurant,nyse
ajg,arthur j. gallagher & co.,nyse
ako.a,embotell andina sa a,nyse
ako.b,embotell andina sa b,nyse
akp,alliance california muni,nyse
akr,acadia realty trust,nyse
aks,ak steel holding corp.,nyse
al,air lease corporation class a c,nyse
alb,albemarle corp.,nyse
aldw,alon usa partners lp,nyse
ale,allete,nyse
alex,alexander and baldwin inc,nyse
alg,alamo group,nyse
alj,alon usa energy,nyse
alk,alaska air group,nyse
all,allstate corporation,nyse
all-a,gmac capital trust i fixed rate,nyse
all-b,ally financial inc fixed rate f,nyse
alp-n,alabama pwr 5.2a pfd,nyse
alp-o,alabama pwr 5.83a pf,nyse
alp-p,alabama power 5.30 a,nyse
alr,alere inc.,nyse
alr-b,alere inc. inverness medical in,nyse
alsn,allison transmission holdings,nyse
alu,alcatel lucent,nyse
alv,autoliv,nyse
alx,alexander's,nyse
am,american greetings corp.,nyse
amd,advanced micro devices,nyse
ame,amtek,nyse
amg,affiliated managers group  ,nyse
amh,american homes 4 rent,nyse
amid,american midsteampartners lp,nyse
amp,ameriprise financial services,nyse
amp-a,ameriprise financial  ,nyse
amrc,ameresco inc,nyse
amre,amreit inc.,nyse
amt,american tower corp.,nyse
amt-a,apollo residential preferred,nyse
amtd,td ameritrade holding corp.,nyse
amtg,apollo residential mortgage in,nyse
amx,american movil s.a.b. de c.v.,nyse
an,autonation,nyse
anf,abercrombie & fitch company,nyse
anfi,amira nature foods ltd,nyse
anh,anworth mortgage asset corp.,nyse
anh-a,anworth mtg pfd a,nyse
anh-b,anworth 6.25 pr s b,nyse
ann,ann inc,nyse
anr,alpha natural resources,nyse
anw,aegean marine petroleum network,nyse
aod,alpine total dynamic dividend,nyse
aoi,alliance one international,nyse
aol,aol inc.,nyse
aon,aon plc,nyse
aos,smith [a.o.] corp.,nyse
ap,ampco-pittsburgh corp.,nyse
apa,apache corp.,nyse
apa-d,apache corporation,nyse
apam,artisan partners asset manageme,nyse
apb,asia pacific fund inc.,nyse
apc,anadarko petroleum corp.,nyse
apd,air products and chemicals,nyse
apf,morgan stanley asia pacific fund inc.,nyse
aph,amphenol corp.,nyse
apl,atlas pipeline partners l.p.,nyse
apo,apollo global management llc c,nyse
apu,amerigas partners l.p.,nyse
arb,arbitron inc.,nyse
arc,american reprographics company,nyse
ardc,ares dynamic credit allocation,nyse
are,alexandria real estate equities,nyse
are-e,alexandria real estate equite,nyse
arg,airgas,nyse
arh-c,arch capital group ltd. 6.75% p,nyse
ari,apollo commercial real estate,nyse
ari-a,apollo commercial real estate,nyse
ark,senior high income portfolio,nyse
arl,american realty investors,nyse
arn,ares capital corporation 7.00%,nyse
aro,aeropostale inc,nyse
arp,atlas resource partners l.p. c,nyse
arpi,american residential properties,nyse
arr,armour residential r,nyse
arr-a,armour residential reit inc,nyse
arr-b,armour residential reit inc,nyse
arsd,arabian american development,nyse
aru,ares capital corporation  ,nyse
arw,arrow electronics,nyse
arx,aeroflex holding,nyse
ary,ares capital corp.,nyse
asa,asa gold and precious metals,nyse
asc,ardmore shipping corporation,nyse
asg,liberty all-star growth fund,nyse
asgn,on assignment,nyse
ash,ashland inc.,nyse
asi,american safety insurance holdings,nyse
asp,american strategic income portfolio,nyse
asr,grupo aeroporuario del sureste,nyse
asx,advanced semiconductor engineering,nyse
at,atlantic power corp.,nyse
ate,advantest corporation ads,nyse
athl,athlon energy inc.,nyse
ati,allagheny technologies inc.,nyse
atk,alliant techsystems inc.,nyse
atls,atlas energy corp.,nyse
ato,atmos energy llc,nyse
atr,aptargroup,nyse
atu,actuant corp.,nyse
atv,acorn international,nyse
atw,atwood oceanics,nyse
au,anglogold ashanti ltd,nyse
au-a,anglogold ashanti holdings fin,nyse
auo,au optronics corp,nyse
auq,aurico gold inc,nyse
auy,yamana gold,nyse
av,aviva plc,nyse
ava,avista corp.,nyse
avb,avalonbay communities,nyse
avd,american vanguard corp.,nyse
avg,avg technologies n.v.,nyse
aviv ,aviv reit inc. common stock,nyse
avk,advent claymore convertible securities,nyse
avp,avon products,nyse
avt,avnet,nyse
avv,aviva plc,nyse
avx,avx corp.,nyse
avy,avery dennison corp.,nyse
awc,alumina ltd,nyse
awf,alliance world dollar fund ii,nyse
awh,allied world assurance company,nyse
awi,armstrong world industries inc,nyse
awk,american water works,nyse
awp,alpine global premier propertie,nyse
awr,american states water company,nyse
axe,anixter international inc.,nyse
axl,american axle & manufacturing,nyse
axll,georgia gulf corp.,nyse
axp,american express company,nyse
axr,amrep corp.,nyse
axs,axis capital holdings,nyse
axs-c,axis capital holdings limited p,nyse
axs-d,axis capital holdings limited  ,nyse
ayi,acuity brands inc,nyse
ayn,alliance new york muni,nyse
ayr,aircastle limited,nyse
azn,astrazeneca plc,nyse
azo,autozone,nyse
azz,azz inc.,nyse
bca,corpbanca,nyse
bcc,boise cascade l.l.c. common st,nyse
bce,bce,nyse
bcei,bonanza creek energy inc.,nyse
bcf,blackrock real asset equity trust,nyse
bch,banco de chile,nyse
